IGSN;Parent_IGSN;Sample_name;Sample_name_old;Waypoint;Waypoint_old;Geoloc_name;Material;Nature;Class;Class_decontamination;Year_of_remediation;X_WGS84;Y_WGS84;Z_elevation_m;Country;Region;State.Province.Prefecture;City.Township;Catchment;Catchment_old;River;Lithology;Lithology_simp;Pedology_SoilGroup_code;Pedology_SG_CSCS_2011;Pedology_SG_WRG_2006;Dose_sed_µSv.h;Dose_soil_µSv.h;Dose_ratio_SedSoil;Campaign;Field_program;Collection_method;Sampling_depth_cm;Sampling_date;Sampling_time;Collector;Collector_ORCID;Collector_address;Al_mg.kg;Ca_mg.kg
10.58052/IETGC0001;;FAL_0010;FKL010-A;10;;;Target;Sediment;Lag deposit;Lag deposit;;140.514256;37.596276;195;Japan;Tohoku;Fukushima;Nihonmatsu shi;Abukuma;Abukuma;Abukuma;;;;;;0.4;;;1;TOFU;Grab;0-2;2011_11_17;13:42:00;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;2.1;
10.58052/IETGC0002;;FAL_0011_A;FKL011-A;11;;FABUL-06;Target;Sediment;Lag deposit;Lag deposit;;140.514941;37.594928;;Japan;Tohoku;Fukushima;Nihonmatsu shi;Abukuma;Kutchibuto;Utsu;;;;;;0.5;;;1;TOFU;Grab;0-2;2011_11_17;13:58:00;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;1.5;
10.58052/IETGC0003;;FAL_0011_B;FKL011-B;11;;FABUL-06;Target;Sediment;Lag deposit;Lag deposit;;140.514941;37.594928;;Japan;Tohoku;Fukushima;Nihonmatsu shi;Abukuma;Abukuma;Utsu;;;;;;1.1;;;1;TOFU;Grab;0-2;2011_11_17;13:58:00;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;4.5;
10.58052/IETGC0004;;FAL_0012;FKL012-A;12;;FABUL-07;Target;Sediment;Lag deposit;Lag deposit;;140.542177;37.581103;224;Japan;Tohoku;Fukushima;Nihonmatsu shi;Abukuma;Abukuma;Kuchibuto;;;;;;1.1;;;1;TOFU;Grab;0-2;2011_11_17;14:39:00;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;8.2;
10.58052/IETGC0005;;FAS_0013;FKS013-A;13;;;Source;Soil;Cropland;Undecontaminated cropland;;140.542544;37.580533;229;Japan;Tohoku;Fukushima;Nihonmatsu shi;Abukuma;Uchi;Kuchibuto;granodiorite (Abukuma Granite);granodiorite;G2;Cambic Red-Yellow soils;Cambisols;;;;1;TOFU;Grab;0-2;2011_11_17;14:59:00;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;5.4;
10.58052/IETGC0006;;FAL_0014;FKL014-A;14;;;Target;Sediment;Lag deposit;Lag deposit;;140.542644;37.580789;;Japan;Tohoku;Fukushima;Nihonmatsu shi;Abukuma;Abukuma;Kuchibuto;;;;;;9;;;1;TOFU;Grab;0-2;2011_11_17;15:07:00;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;8.33;
10.58052/IETGC0007;;FAS_0015;FAS015;15;;;Source;Soil;Landslide;Landslide;;140.540899;37.561929;237;Japan;Tohoku;Fukushima;Nihonmatsu shi;Abukuma;Kijo;Kuchibuto;granodiorite (Abukuma Granite);granodiorite;G2;Cambic Red-Yellow soils;Cambisols;;;;1;TOFU;Grab;0-2;2011_11_17;15:26:00;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;9.66;
10.58052/IETGC0008;;FAS_0016;FKS016-A;16;;;Source;Soil;Cropland;Undecontaminated cropland;;140.557267;37.553743;247;Japan;Tohoku;Fukushima;Nihonmatsu shi;Abukuma;Abukuma;Kuchibuto;granodiorite (Abukuma Granite);granodiorite;G2;Cambic Red-Yellow soils;Cambisols;;1.4;;1;TOFU;Grab;0-2;2011_11_17;15:39:00;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;10.99;
10.58052/IETGC0009;;FAL_0017;FAL017;17;;;Target;Sediment;Lag deposit;Lag deposit;;140.692417;37.585496;523;Japan;Tohoku;Fukushima;Kawamata shi;Abukuma;Abukuma;Kuchibuto higashikuboyama;;;;;;2;;;1;TOFU;Grab;0-2;2011_11_17;16:17:00;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;12.32;
10.58052/IETGC000a;;FAL_0018;FKL018-A;18;;FABUL-10;Target;Sediment;Lag deposit;Lag deposit;;140.692427;37.585712;533;Japan;Tohoku;Fukushima;Kawamata shi;Abukuma;Abukuma;Kuchibuto higashikuboyama;;;;;;16;;;1;TOFU;Grab;0-2;2011_11_17;16:21:00;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;13.65;
