IGSN;Parent_IGSN;Sample_name;Sample_name_old;Waypoint;Waypoint_old;Geoloc_name;Material;Nature;Class;Class_decontamination;Year_of_remediation;X_WGS84;Y_WGS84;Z_elevation_m;Country;Region;State.Province.Prefecture;City.Township;Catchment;Catchment_old;River;Lithology;Lithology_simp;Pedology_SoilGroup_code;Pedology_SG_CSCS_2011;Pedology_SG_WRG_2006;Dose_sed_µSv.h;Dose_soil_µSv.h;Dose_ratio_SedSoil;EDRXF_Al_mg.kg.1;EDXRF_Ca_mg.kg.1;EDXRF_Si_mg.kg.1;Campaign;Field_program;Collection_method;Sampling_depth_cm;Layer_thickness_cm;Depth_min_cm;Depth_max_cm;Sampling_date;Sampling_time;Collector;Collector_ORCID;Collector_address;Current_archive;Current_archive_quantity_g;Current_archive_quantity_last_update;Note
10.58052/IETGC0004;;FAL_0012;FKL012-A;12;;FABUL-07;Target;Sediment;Lag deposit;Lag deposit;;140.542177;37.581103;224;Japan;Tohoku;Fukushima;Nihonmatsu shi;Abukuma;Abukuma;Kuchibuto;;;;;;1.1;;;8.2;;;1;TOFU;Grab;0-2;;;;2011_11_17;14:39:00;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;;;;
10.58052/IETGC000K;;FAS_0025_A;FAS025-A;25;;;Source;Soil;Lag deposit;Lag deposit;;140.462283;37.594641;206;Japan;Tohoku;Fukushima;Nihonmatsu shi;Abukuma;Abukuma;Abukuma;marine and non-marine sediments;marine and non-marine sediments;F2;Gley Lowland soils;Gleyic Fluvisols;;;;8.2;;;1;TOFU;Grab;0-2;;;;2011_11_18;10:00:00;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;;;;
10.58052/IETGC000X;;FNL_0037;FNL037-A;37;;;Target;Sediment;Lag deposit;Lag deposit;;140.777187;37.674447;434;Japan;Tohoku;Fukushima;Iitate mura;Niida;Abukuma;Niida;;;;;;4;;;8.2;;;1;TOFU;Grab;0-2;;;;2011_11_18;12:52:00;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;;;;
10.58052/IETGC0018;;FNL_0044;FNL044-A;44;;FNIIL-01;Target;Sediment;Lag deposit;Lag deposit;;141.015549;37.641935;0;Japan;Tohoku;Fukushima;Minamisoma shi;Niida;Hiso;Niida;;;;;;0.5;;;8.2;;;1;TOFU;Grab;0-2;;;;2011_11_18;15:46:00;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;;;;
10.58052/IETGC000Y;;FNS_0038;FNS038-A;38;;;Source;Soil;Cropland;Undecontaminated cropland;;140.777199;37.674581;429;Japan;Tohoku;Fukushima;Iitate mura;Niida;Abukuma;Niida;marine and non-marine sediments;marine and non-marine sediments;D6;Allophanic Andosols;Silandic Andosols;;;;8.2;;;1;TOFU;Grab;0-2;;;;2011_11_18;12:59:00;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;;;;
10.58052/IETGC001J;;FAL_0052;FAL052;52;;;Target;Sediment;Lag deposit;Lag deposit;;140.673917;37.598136;549;Japan;Tohoku;Fukushima;Kawamata shi;Abukuma;Abukuma;Kuchibuto;;;;;;3;;;8.2;;;1;TOFU;Grab;0-2;;;;2011_11_19;13:35:00;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;;;;
10.58052/IETGC001K;;FAL_0053;FKL053-A;53;;FABUL-11;Target;Sediment;Lag deposit;Lag deposit;;140.673292;37.601007;;Japan;Tohoku;Fukushima;Kawamata shi;Abukuma;Iitoi;Kuchibuto;;;;;;3;;;8.2;;;1;TOFU;Grab;0-2;;;;2011_11_19;14:11:00;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;;;;
10.58052/IETGC001L;;FAL_0054;FAL054;54;;;Target;Sediment;Lag deposit;Lag deposit;;140.642024;37.600974;;Japan;Tohoku;Fukushima;Kawamata shi;Abukuma;Iitoi;Kuchibuto;;;;;;;;;8.2;;;1;TOFU;Grab;0-2;;;;2011_11_19;;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;;;;
10.58052/IETGC001M;;FAL_0055;FKL055-A;55;;;Target;Sediment;Lag deposit;Lag deposit;;140.638167;37.600897;549;Japan;Tohoku;Fukushima;Kawamata shi;Abukuma;Iitoi;Kuchibuto;;;;;;1.8;;;8.2;;;1;TOFU;Grab;0-2;;;;2011_11_19;15:05:00;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;;;;
10.58052/IETGC001O;;FAL_0056;FKL056-A;56;;FABUL-09;Target;Sediment;Lag deposit;Lag deposit;;140.684991;37.586879;517;Japan;Tohoku;Fukushima;Kawamata shi;Abukuma;Nitta;Kuchibuto;;;;;;1;;;8.2;;;1;TOFU;Grab;0-2;;;;2011_11_19;15:24:59;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;;;;
